Name,Interests
Xiang Anthony Chen,Human-computer interaction; sensing and interaction techniques; intelligent user interfaces; computational design and fabrication
Ankur Mehta,Printable robotics; Rapid design and fabrication; Controls algorithms; Wireless sensor networks
Majid Sarrafzadeh,Embedded systems; health analytics; biomedical systems; and algorithm design
Stefano Soatto,Computer vision; machine learning; robotics
Yang Zhang,Human-computer interaction; sensing and interaction techniques; Internet of Things (IoT); digital health; accessibility
Lei He,Artificial Intelligence (AI) and Internet of Things (IoT) for Education; Health; Transportation; and Power and Water Sustainability; Programmable Logic (FPGA); Re-Configurable Computing; AI-on-A-Chip; Neuromorphic Computing; and Quantum Computing; Modeling; Simulation and Validation for VLSI Circuits; Software; and IoT Systems
Achuta Kadambi,Computational Imaging; Computer Vision; Machine Learning; Robotics; Medical Devices
Jonathan Kao,Neural prostheses; brain-machine interfaces; computational and systems neuroscience; neural signal processing; machine learning; dynamical systems; recurrent neural networks; deep learning
Wentai Liu,Neural prosthesis; bioelectronics; implantable microelectronics; high-speed transceiver design (wired and wireless); microelectronic sensors; timing/clock optimization; on-chip Interconnects; computer vision/image processing
Asad M. Madni,Intelligent sensors; systems and instrumentation; wireless sensor networks; signal processing; and MEMS; applications for automotive safety; aerospace; radar; electronic warfare; and US combat readiness
Aydogan Ozcan,Computational Imaging; Deep Learning Optics; Microscopy; Holography; Sensing; Biophotonics
Ali H. Sayed,Adaptation and learning; statistical signal processing; estimation and filtering theories; signal processing for communications; distributed processing; bio-inspired networks; system theory
Lieven Vandenberghe,Engineering optimization; system theory and control; signal processing; machine learning
Lin F. Yang,Machine Learning; Reinforcement Learning; Optimization; Big-data Algorithms; Control
Asad A. Abidi,High-performance analog electronics; device modeling
Clarice D. Aiello,Quantum sensing; Spin physics in “living sensors”; Bioimaging
Abeer Alwan,Digital speech processing; noise robust speech recognition; models of speech production and perception
Katsushi Arisaka,High-speed single photon detection and digitization; photon detection systems in bio-imaging and particle physics
Corey Arnold,Computational Radiology/Pathology; Machine Learning; Deep Learning; Multi-scale Disease Modeling; Natural Language Processing
Aydin Babakhani,Millimeter-wave/THz Integrated Circuits and on-chip antennas; Wirelessly-powered CMOS sensors and actuators; Biomedical circuitsand medical implants
Ezio Biglieri,Information theory; channel coding and wireless communications
Danijela Cabric,Wireless communications system design; machine learning for wireless communications; sensing and security; performance analysis and experiments on embedded platforms and software defined radios
Robert N. Candler,MEMS and nanoscale devices; fundamental limitations of sensors; micromagnetic devices for advanced light sources; biological and chemical sensing
Sergio Carbajo,Ultrafast photon sciences and light-matter interactions; including quantum optics; ultrafast and nonlinear optics; and structured photonics; molecular dynamics; and particle accelerators and X-ray free-electron lasers
M. C. Frank Chang,High-speed semiconductors devices; integrated circuits for digital; analog; microwave; mm-wave terahertz systems; RF/wireless interconnects
Panagiotis Christofides,Advanced materials processing; process modeling; dynamics and control; applied mathematics; desalination and water treatment
Jason Cong,Computer system architecture;energy-efficient computing; reconfigurable computing; electronic design automation; fault-tolerant design of VLSI systems; design for nanotechnologies; design and analysis of algorithms
Suhas N. Diggavi,Information theory; wireless networks; cooperative information flow over wireless networks; network data compression; network secrecy; large-scale data analysis algorithms
Dariush Divsalar,Information theory; communication theory; bandwidth efficient combined coding modulation techniques; CDMA; turbo codes; LDPC codes; iterative decoding
Lara Dolecek,Coding and information theory; statistical algorithms; and machine learning with applications to various traditional and emerging technologies 1) in data storage; including memories (Flash; DRAM; DNA storage; etc.); and dense; large-scale; and distributed storage; and 2) in data processing; including blockchain; quantum computing; and distributed computing.
Sam Emaminejad,Biological and Chemical Sensors;Wearable and Flexible Electronics; Microfluidics; MEMs and NEMs Fabrication and Modeling; Internet of Things Devices; Technology Development for Personalized/Precision Medicine
Alyson Fletcher,Network neuroscience; machine learning; complex system theory; graphical models; statistical physics and inference; identification of neural systems
Christina Fragouli,Network coding; algorithms for networking; wireless networks and network security.
Bahman Gharesifard,Systems and controls; network optimization; distributed decision making; data-driven control; decentralization in machine learning; online optimization; social and economic networks; game theory; optimal transport theory; geometric control and mechanics
Dan M. Goebel,Electric propulsion; thermionic emission; microwaves; plasma-materials interactions; high voltage
Mark Gyure,Quantum Science and Engineering
Puneet Gupta,Design-technology co-optimization; physical design; variability and reliability aware computer architectures
Diana L. Huffaker,Solid-state nanotechnology; plasmonically-coupled processes; optoelectronic devices; solar cell; si photonics; novel materials
Subramanian S. Iyer,System Scaling Technology; advanced packaging and 3D integration; technologies and techniques for the memory subsystem integration and neuromorphi computing
Stephen E. Jacobsen,Mathematical programming with emphasis on non-convex and NP-hard problems andthe application of the latter to engineering and engineering/economic systems
Bahram Jalali,Silicon Photonics; Cell imaging and screening; Physics-inspired Algorithms; Nonlinear Dynamics; Artificial Intelligence
Mona Jarrahi,Terahertz/millimeter-wave electronics and optoelectronics; microwave photonics; imaging and spectroscopy systems
Chan J. Joshi,Laser fusion; laser acceleration of particles; nonlinear optics; high-power lasers; plasma physics
William J. Kaiser,Biomedical informatics; embedded systems; biomedical devices
Pedram Khalili,Nanoelectronics; spintronics; nano-magnetism; nonvolatile memory and logic; and microwave magnetics
Alan J. Laub,Numerical linear algebra; high-performance computing
Jia-Ming Liu,Nonlinear optics; ultrafast optics; laser dynamics and chaos; semiconductor lasers; fiber lasers; optoelectronics; photonics; microwave photonics; graphene photonics; nanophotonics
Dejan Markovic,Integrated circuits for emerging radio and healthcare systems; energy-efficient flexible digital integrated circuits; circuit and architecture design with post-CMOS devices; optimization methods and CAD flows
Shervin Moloudi,Analog and RF integrated electronics; high speed data converters; and telecommunication circuits
Warren B. Mori,Plasma physics; high energy density plasma science; high performance computing
Ali Mosleh,Reliability engineering; physics of failure modeling and system life prediction; resilient systems design; prognostics and health monitoring; hybrid systems simulation; theories and techniques for risk and safety analysis
Stanley Osher,Level set methods for computing moving fronts involving topological changes; hyperbolic conservation laws and Hamilton-Jacobi equations; optimization related to sparsity
Sudhakar Pamarti,Analog; mixed signal and RF IC design; signal processing
Gregory Pottie,Communications/telecommunications; biomedical informatics; sensor networks
